"Período";"Sx = X/PIB";"Sm = M/PIB";"(Sx+Sm)/2";"(Sx-Sm)";"Pa";"Px";"Pa/Px";"Termos de Troca (Px/Pm)";"Termos de Troca - 1";"Preços relativos (P_tradables/P_ñtradables).x";"Preços relativos (P_tradables/P_ñtradables).y";"Efeito Termos de Troca (Reinsdorf 2009)";"Efeito Preços Relativos (Reinsdorf 2009)";"TGI - 1.x";"Índice de ganhos de comércio  (Reinsdorf 2009) var% (Pa média harmônica até 1990)";"TGI - 1.y";"Índice de ganhos de comércio  (Reinsdorf 2009) (Pa média harmônica até 1990)"
1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100
1948;0,11089682;0,10125362;0,10607522;0,00964319999999999;1,062889;1,0381256;1,02385395370271;0,9683082;-0,0316918;0,9925562;-0,0074438;-0,00344190484299049;-7,23203906841748e-05;-0,00351422523367466;-0,00351422523367466;0,996485774766325;99,6485774766325
1949;0,0888797;0,08763952;0,08825961;0,00124018000000001;1,083012;1,0422615;1,03909815339049;0,9999802;-1,98000000000143e-05;0,9623825;-0,0376175;-1,81586587584661e-06;-4,84760177476214e-05;-5,0291883623468e-05;-5,0291883623468e-05;0,999949708116377;99,6435659619708
1950;0,0920071;0,07602131;0,084014205;0,01598579;1,046138;1,4956116;0,699471707761561;1,6599553;0,6599553;1,1096387;0,1096387;0,0387826424148954;0,00157948820104508;0,0403621306159405;0,0403621306159405;1,04036213061594;103,665392586366
1951;0,09604358;0,11267202;0,1043578;-0,01662844;1,194479;1,1795306;1,01267317694005;0,8996094;-0,1003906;1,0411271;0,0411271;-0,0106093132291515;-0,000656864579477375;-0,0112661778086288;-0,0112661778086288;0,988733822191371;102,497479840887
1952;0,07069722;0,09873233;0,084714775;-0,02803511;1,102639;0,9899169;1,11387026527176;0,9160828;-0,0839172;0,93799;-0,06201;-0,0079185334746767;0,00185338561295963;-0,00606514786171707;-0,00606514786171707;0,993934852138283;101,875817470198
1953;0,0659857;0,05597549;0,060980595;0,01001021;1,133446;2,0557231;0,551361221752093;1,0337701;0,0337700999999999;1,783824;0,783824;0,00113542962742075;0,00439855212343818;0,00553398175085894;0,00553398175085894;1,00553398175086;102,439596384932
1954;0,06674613;0,068236;0,067491065;-0,00148987;1,256513;1,7983778;0,698692454944673;1,2644722;0,2644722;1,2727972;0,2727972;0,0124713182695081;-0,00031932217038504;0,0121519960991231;0,0121519960991231;1,01215199609912;103,684441960598
1955;0,07622438;0,06836872;0,07229655;0,00785566;1,13477;0,9506814;1,19363858386206;0,8083143;-0,1916857;0,9318305;-0,0681695;-0,0165416998819663;-0,000574692945090336;-0,0171163928270566;-0,0171163928270566;0,982883607172943;101,909738321946
1956;0,06764506;0,05812032;0,06288269;0,00952474;1,229913;0,9570552;1,28510142361695;1,0081434;0,00814340000000002;0,7749997;-0,2250003;0,000658073320497583;-0,0027652518541904;-0,00210717853369281;-0,00210717853369281;0,997892821466307;101,69499630898
