"Período";"Deflator do PIB";"PIBreal (PIB a preços do ano anterior)";"{- (X/Px)}";"{+ (M/Pm)}";"(= Absorção Interna)";"{+ (X/Pa)}";"{- (M/Pa)}";"(= RIBreal)";"GC";"GC/PIB";"Var. Real (%) PIB";"Var. Real (%) RIB";"GC(%) do PIB";"Termos de Troca";"Índice PIB (1947=100)";"Índice RIB (1947=100)";"Pa calculado";"Pa calculado - %"
1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA
1948;1,059166;7,120527e-05;8,056478e-06;7,122793e-06;7,0271585e-05;7,86877651382223e-06;7,18453573232953e-06;7,09558257814927e-05;-2,49444218507292e-07;-0,0035031707415377;0,097;0,093157027;-0,00384297299999999;0,968308251152129;109,7;109,3157027;99,6496834092981;-0,00350316590701927
1949;1,082957;8,122538e-05;7,501171e-06;7,396357e-06;8,1120566e-05;7,21892462872064e-06;7,11819536625633e-06;8,12212952624643e-05;-4,08473753568195e-09;-5,02889310666439e-05;0,077;0,076945834;-5,41659999999944e-05;0,999980139735668;118,1469;117,727090613548;99,6446716871518;-5,02934076138661e-05
1950;1,08961;9,394516e-05;6,297211e-06;8,636915e-06;9,6284864e-05;9,00281033668598e-06;7,43861517314159e-06;9,78490591635444e-05;3,90389916354438e-06;0,0415550855791228;0,068;0,112380821;0,044380821;1,65995512517714;126,1808892;130,957357710639;103,785413576432;0,0415550758426966
1951;1,181198;0,0001073795;1,032768e-05;1,089945e-05;0,00010795127;1,01984379800733e-05;1,19641366654416e-05;0,000106185571314632;-1,19392868536827e-06;-0,0111187767252434;0,049;0,037336368;-0,011663632;0,899609398893467;132,3637527708;135,846829810431;102,631443251434;-0,0111188102955194
1952;1,096022;0,0001360954;1,065287e-05;1,362882e-05;0,00013907135;9,56382823390067e-06;1,33563840930713e-05;0,000135278794140829;-8,16605859170613e-07;-0,00600024585085619;0,073;0,06656177;-0,00643822999999999;0,916082823060129;142,026306723068;144,889035251503;102,015632592641;-0,00600021435228326
1953;1,139752;0,0001561743;5,713539e-06;5,010455e-06;0,000155471216;1,03626021883707e-05;8,79056964337075e-06;0,000157043248545;8,6894854499993e-07;0,00556396631840149;0,047;0,052825503;0,005825503;1,0337700627939;148,701543139053;152,542871417848;102,583247085206;0,00556399522445061
1954;1,271981;0,000191884;9,058669e-06;1,171011e-05;0,000194535441;1,29651742560562e-05;1,32545783449913e-05;0,000194246036911065;2,36203691106497e-06;0,0123097126965509;0,078;0,091269912;0,013269912;1,26447222995848;160,300263503899;166,465445868382;103,846021353754;0,0123097513914656
1955;1,115621;0,0002655511;2,37533e-05;1,722137e-05;0,00025901917;1,98999092327079e-05;1,78490354873675e-05;0,00026107004374534;-4,48105625465959e-06;-0,0168745535403905;0,088;0,069640513;-0,018359487;0,808314296296221;174,406686692242;178,05818491543;102,093668707572;-0,0168745284926469
1956;1,227326;0,0003048459;2,644476e-05;2,290624e-05;0,00030130738;2,05779514485984e-05;1,76804782126866e-05;0,000304204853235912;-6,41046764088163e-07;-0,00210285512807672;0,029;0,026836167;-0,002163833;1,00814336931155;179,464480606317;182,836584101537;101,878981001604;-0,00210285034013613
1957;1,127129;0,0004029547;2,41252e-05;2,62359e-05;0,0004050654;2,24320058000918e-05;2,47847921308779e-05;0,000402712613669214;-2,42086330786069e-07;-0,000600778029853154;0,077;0,076352972;-0,000647027999999994;0,984255720625099;193,283245613003;196,796700688018;101,817775288216;-0,000600768802228591
1958;1,123643;0,0005032335;1,993214e-05;2,0459e-05;0,00050376036;2,87272830561823e-05;3,05671136233315e-05;0,000501920529432851;-1,31297056714917e-06;-0,00260906828966905;0,108;0,105109138;-0,00289086200000001;0,964651675715266;214,157836139208;217,481832258579;101,552124442092;-0,00260908122743708
1959;1,358565;0,0006208691;4,806103e-05;5,132662e-05;0,00062413469;3,68978273129606e-05;4,08282445638707e-05;0,00062020427274909;-6,64827250910181e-07;-0,0010708009963939;0,098;0,096824269;-0,001175731;0,965138701001949;235,14530408085;238,539351687797;101,443383111653;-0,00107079326047355
1960;1,254156;0,0009227791;4,915228e-05;5,553998e-05;0,0009291668;4,89004716598965e-05;5,88076488651726e-05;0,000919259622794724;-3,51947720527628e-06;-0,00381399752690137;0,094;0,089827474;-0,004172526;0,939596106099173;257,24896266445;259,966739099509;101,056477121194;-0,0038140091407679
1961;1,346178;0,001256838;6,513608e-05;6,937279e-05;0,00126107471;7,27818023890304e-05;7,77760785158019e-05;0,00125608043387323;-7,57566126771648e-07;-0,000602755587252811;0,086;0,085345384;-0,000654615999999997;0,996653454994174;279,372373453593;282,153700275185;100,995562584521;-0,000602777163904222
1962;1,502495;0,001803594;0,0001360079;0,0001531754;0,0018207615;0,000119653466560696;0,000144119278880604;0,00179629568768009;-7,29831231990755e-06;-0,00404653836723096;0,066;0,061686375;-0,004313625;0,935035321448039;297,81095010153;299,558739237997;100,58687873494;-0,00404655253283293
1963;1,784174;0,00272615;0,0002788179;0,0002879176;0,0027352497;0,000235566985762539;0,000245834731607075;0,00272498195415546;-1,16804584453581e-06;-0,00042845985897174;0,006;0,005568945;-0,000431055000000001;0,989506493663287;299,597815802139;301,226965381083;100,543778857193;-0,000428484095427284
1964;1,895337;0,005029301;0,0002409957;0,0002547052;0,0050430105;0,000331790064303618;0,000285916787007946;0,00508888377729567;5,95827772956713e-05;0,0118471289142708;0,034;0,046249938;0,012249938;1,2264568918496;309,784141539412;315,158693853886;101,734934618592;0,0118471353965184
1965;1,589332;0,009760991;0,0007508278;0,0005388393;0,0095490025;0,000742899817593825;0,000527569138738213;0,00976433317885561;3,34217885561254e-06;0,000342401591765891;0,024;0,024350608;0,000350607999999999;1,01057773092564;317,218960936357;322,832999665714;101,76976770644;0,000342390624999966
1966;1,379361;0,01655286;0,001317999;0,001078556;0,016313417;0,00106620917158656;0,000948764964781131;0,0164308612068054;-0,000121998793194567;-0,00737025463844721;0,067;0,059135918;-0,007864082;0,919626137641886;338,472631319093;341,92402546164;101,019696667673;-0,00737027366447984
1967;1,265289;0,02379132;0,001436262;0,001416167;0,023771225;0,00135971682365801;0,00137280386407851;0,0237581379595795;-3,31820404205034e-05;-0,00139471203869745;0,042;0,040546733;-0,001453267;0,976609470747916;352,688481834495;355,787927628318;100,878805504989;-0,00139469001919401
1968;1,267067;0,03305299;0,0019784;0,002120364;0,033194954;0,00196448218327193;0,00221386917643505;0,0329455670068369;-0,00010742299316311;-0,00325002346726;0,098;0,094431512;-0,00356848800000001;0,95102665615672;387,251953054276;389,385519585607;100,550950489598;-0,00324998907103857
1969;1,200518;0,045859;0,002849867;0,002988976;0,045998109;0,00308429084845558;0,00308954639096023;0,0459928534574953;0,00013385345749535;0,00291880454208226;0,095;0,098196096;0,003196096;1,04702843283629;424,040888594432;427,621657447845;100,844439522161;0,00291880913242015
1970;1,162551;0,06078022;0,003833081;0,004465999;0,061413138;0,00429917292855647;0,00455599003636829;0,0611563208921882;0,000376100892188168;0,00618788303477954;0,104;0,110831417;0,00683141699999999;1,09944303977029;468,141141008253;475,015571682679;101,468452582403;0,00618787771739115
1971;1,193846;0,07867503;0,005264079;0,006294925;0,079705876;0,0050590190571598;0,00641939431146241;0,0783455007456974;-0,000329529254302602;-0,00418848590591706;0,11342922;0,108765639;-0,004663581;0,942411090322518;521,242025482729;526,680943871695;101,04345354424;-0,00418848447322051
1972;1,198671;0,1051409;0,007565114;0,00925652;0,106832306;0,00764731597498047;0,00931708644019145;0,105162535534789;2,16355347890246e-05;0,000205776579704231;0,11940348;0,119633854;0,000230373999999992;1,00429490961026;583,480137247616;589,689815015424;101,064248355925;0,000205800682341994
1973;1,295804;0,1436341;0,01045859;0,01343861;0,14661412;0,0113688501294505;0,0130595082828833;0,144923461846567;0,00128936184656714;0,00897671128629719;0,13968722;0,149917869;0,010230649;1,11859011904852;664,984855544954;678,094855453541;101,971473455263;0,00897671643628684
1974;1,346059;0,2012978;0,0149419;0,02156887;0,20792477;0,0151048228081876;0,0261717516045271;0,196857841203661;-0,00443995879633949;-0,0220566682613495;0,08153939;0,057684202;-0,023855188;0,833113792332095;719,207315025327;717,210216070683;99,7223194323915;-0,0220566982770736
1975;1,339294;0,2849581;0,0224283;0,03265436;0,29518416;0,020526697386893;0,0313281853109231;0,28438267207597;-0,000575427924030036;-0,00201934222620812;0,05166649;0,049542853;-0,002123637;0,953956950422431;756,36623257501;752,742856375571;99,5209495025838;-0,00201930651988347
1976;1,412036;0,4207883;0,02716569;0,04061222;0,43423483;0,0297431054751489;0,0398758460902653;0,424102089384883;0,00331378938488347;0,00787519373728659;0,1025713;0,11125426;0,00868295999999999;1,11509630487114;833,947700326331;836,488705831922;100,304696026453;0,00787519138218107
1977;1,453981;0,6234866;0,03976288;0,0506579;0,63438162;0,0456591760351698;0,0498478632027072;0,630192932832463;0,00670633283246258;0,0107561779715275;0,04934328;0,060630208;0,011286928;1,16694635471594;875,09741520889;887,205190056162;101,383591659265;0,0107561826669345
1978;1,382276;0,9515914;0,07367802;0,07492856;0,95284194;0,0630222074913595;0,074245623931575;0,941618523559784;-0,00997287644021549;-0,0104802086696196;0,04969898;0,038697902;-0,011001078;0,863241148809779;918,588864145408;921,538169554847;100,321069144702;-0,0104802216726935
1979;1,54366;1,404275;0,09522767;0,1130003;1,42204763;0,100863731440634;0,129912251671588;1,39299910976905;-0,011275890230954;-0,00802968808171761;0,0675956;0,059023156;-0,00857244399999999;0,921300797175624;980,681429570635;975,930260696437;99,5155237235115;-0,00802967340817051
1980;1,921419;2,367153;0,1920108;0,1933159;2,3684581;0,207639176118941;0,259317408959676;2,31677986715926;-0,0503731328407353;-0,0212800494267736;0,092;0,068762189;-0,023237811;0,806156867033787;1070,90412109113;1043,03736173326;97,3978287309721;-0,0212800467032968
1981;2,005289;4,354991;0,4941699;0,4529369;4,313758;0,413504528867842;0,430144919834512;4,29711760903333;-0,0578733909666704;-0,0132889806125134;-0,0425;-0,055224193;-0,012724193;0,881103500002772;1025,39069594476;985,436465162696;96,10351147713;-0,0132889744125326
1982;2,010344;8,805498;0,7635068;0,8070665;8,8490577;0,694323707772849;0,754982363206247;8,7883990445666;-0,0170989554333989;-0,00194184990257211;0,0083;0,006342048;-0,001957952;0,972124039234182;1033,9014387211;991,686150525708;95,9168943368904;-0,0019418347713972
1983;2,31484;17,18341;1,594408;1,244223;16,833225;2,11575759102848;1,66868865292533;17,2802939381031;0,0968839381031508;0,00563822536406632;-0,0293;-0,023826927;0,005473073;0,989440352378043;1003,60812656657;968,057317010221;96,4577001107021;0,00563827444112497
1984;3,017403;41,9248;5,74382;3,560255;39,741235;6,37297267413517;3,72769962489969;42,3865080492355;0,461708049235469;0,0110127668882253;0,054;0,06560745;0,01160745;1,05969603995207;1057,80296540117;1031,5690890331;97,5199657000285;0,0110127609108157
1985;3,485437;136,4346;19,71906;10,95493;127,67047;17,4839315122949;10,1284996308706;135,025901881424;-1,40869811857573;-0,0103250796980805;0,0785;0,06736437;-0,01113563;0,958997014544002;1140,84049818516;1101,06009082729;96,5130614296082;-0,0103251089476126
1986;2,491793;511,1515;51,52246;47,18944;506,81848;47,9491605171025;34,5593960493577;520,208244467745;9,05674446774475;0,017718317304644;0,0749;0,093945396;0,019045396;1,27075835749765;1226,28945149923;1204,49961707986;98,2231083866268;0,0177182956554101
